Ticker,Entry,Current,PnL %,Result,AI Conviction,Opportunity Type,Market Sentiment
NVDA,214.3,214.3,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
SOUN,8.16,8.16,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
AVGO,412.85,412.85,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
AAPL,308.4,308.4,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
JOBY,10.84,10.84,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
RKLB,134.15,134.15,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
BBAI,4.18,4.18,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
NNE,26.51,26.51,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
HOOD,73.32,73.32,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
QBTS,28.63,28.63,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
AMD,462.75,462.75,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
QUBT,12.2,12.2,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
VST,156.0,156.0,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
IONQ,62.72,62.72,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
ACHR,6.29,6.29,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
OKLO,65.39,65.39,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
TSLA,423.68,423.68,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
MRVL,195.2,195.2,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
SNOW,172.02,172.02,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
RGTI,25.86,25.86,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
PLTR,135.94,135.94,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
AMZN,265.4,265.4,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
MSFT,417.79,417.79,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
MSTR,158.75,158.75,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
PATH,10.92,10.92,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
ARM,304.08,304.08,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
GOOGL,382.29,382.29,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
TEM,46.04,46.04,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
MU,745.56,745.56,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
SMCI,35.22,35.22,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
COIN,184.29,184.29,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
EOSE,7.97,7.97,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
IREN,56.23,56.23,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
AI,9.25,9.25,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
LUNR,38.15,38.15,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
DDOG,221.64,221.64,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
ASTS,105.6,105.6,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
TSM,403.49,403.49,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
SMR,11.34,11.34,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
META,607.35,607.35,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
CAVA,80.28,80.28,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
CEG,293.8,293.8,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
MARA,13.77,13.77,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
RIOT,24.31,24.31,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
SMCI,35.22,35.22,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
DDOG,221.64,221.64,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
GOOGL,382.29,382.29,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
MRVL,195.2,195.2,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
ARM,304.08,304.08,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
VST,156.0,156.0,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
PATH,10.92,10.92,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
MSTR,158.75,158.75,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
SOUN,8.16,8.16,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
RGTI,25.86,25.86,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
LUNR,38.15,38.15,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
HOOD,73.32,73.32,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
NVDA,214.3,214.3,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
QBTS,28.63,28.63,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
PLTR,135.94,135.94,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
ASTS,105.6,105.6,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
NNE,26.51,26.51,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
RIOT,24.31,24.31,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
AAPL,308.4,308.4,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
IREN,56.23,56.23,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
JOBY,10.84,10.84,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
TEM,46.04,46.04,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
TSLA,423.68,423.68,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
ACHR,6.29,6.29,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
META,607.35,607.35,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
AMD,462.75,462.75,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
QUBT,12.2,12.2,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
RKLB,134.15,134.15,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
AMZN,265.4,265.4,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
TSM,403.49,403.49,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
SMR,11.34,11.34,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
MU,745.56,745.56,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
OKLO,65.39,65.39,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
IONQ,62.72,62.72,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
MARA,13.77,13.77,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
SNOW,172.02,172.02,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
MSFT,417.79,417.79,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
CEG,293.8,293.8,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
CAVA,80.28,80.28,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
COIN,184.29,184.29,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
AVGO,412.85,412.85,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
AI,9.25,9.25,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
EOSE,7.97,7.97,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
BBAI,4.18,4.18,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
SMCI,35.22,35.22,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
DDOG,221.64,221.64,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
GOOGL,382.29,382.29,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
MRVL,195.2,195.2,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
ARM,304.08,304.08,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
VST,156.0,156.0,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
PATH,10.92,10.92,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
MSTR,158.75,158.75,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
SOUN,8.16,8.16,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
RGTI,25.86,25.86,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
LUNR,38.15,38.15,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
HOOD,73.32,73.32,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
NVDA,214.3,214.3,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
QBTS,28.63,28.63,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
PLTR,135.94,135.94,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
ASTS,105.6,105.6,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
NNE,26.51,26.51,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
RIOT,24.31,24.31,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
AAPL,308.4,308.4,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
IREN,56.23,56.23,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
JOBY,10.84,10.84,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
TEM,46.04,46.04,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
TSLA,423.68,423.68,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
ACHR,6.29,6.29,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
META,607.35,607.35,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
AMD,462.75,462.75,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
QUBT,12.2,12.2,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
RKLB,134.15,134.15,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
AMZN,265.4,265.4,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
TSM,403.49,403.49,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
SMR,11.34,11.34,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
MU,745.56,745.56,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
OKLO,65.39,65.39,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
IONQ,62.72,62.72,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
MARA,13.77,13.77,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
SNOW,172.02,172.02,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
MSFT,417.79,417.79,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
CEG,293.8,293.8,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
CAVA,80.28,80.28,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
COIN,184.29,184.29,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
AVGO,412.85,412.85,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
AI,9.25,9.25,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
EOSE,7.97,7.97,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
BBAI,4.18,4.18,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
HOOD,73.32,73.32,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
AMD,462.75,462.75,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
SMCI,35.22,35.22,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
OKLO,65.39,65.39,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
MU,745.56,745.56,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
COIN,184.29,184.29,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
AI,9.25,9.25,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
QUBT,12.2,12.2,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
RKLB,134.15,134.15,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
BBAI,4.18,4.18,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
PATH,10.92,10.92,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
MSFT,417.79,417.79,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
MARA,13.77,13.77,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
NVDA,214.3,214.3,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
LUNR,38.15,38.15,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
TEM,46.04,46.04,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
CAVA,80.28,80.28,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
AAPL,308.4,308.4,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
QBTS,28.63,28.63,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
ASTS,105.6,105.6,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
GOOGL,382.29,382.29,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
CEG,293.8,293.8,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
META,607.35,607.35,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
EOSE,7.97,7.97,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
AVGO,412.85,412.85,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
NNE,26.51,26.51,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
MSTR,158.75,158.75,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
PLTR,135.94,135.94,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
RGTI,25.86,25.86,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
SNOW,172.02,172.02,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
SMR,11.34,11.34,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
AMZN,265.4,265.4,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
ARM,304.08,304.08,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
JOBY,10.84,10.84,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
TSM,403.49,403.49,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
IREN,56.23,56.23,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
ACHR,6.29,6.29,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
SOUN,8.16,8.16,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
RIOT,24.31,24.31,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
MRVL,195.2,195.2,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
VST,156.0,156.0,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
TSLA,423.68,423.68,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
DDOG,221.64,221.64,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
IONQ,62.72,62.72,0.0,Neutral,🔴 Avoid Conviction,Neutral,⚖️ Neutral
